,date,NAV,NavperUnit,sellingPrice,redemptionPrice,change,FundName
1384,2017-06-06,14732101673.9,10.8572,10.8573,10.8572,0.0003,B-TREASURY : Bualuang Treasury Fund
1385,2017-06-05,14749599311.88,10.8569,10.857,10.8569,0.001,B-TREASURY : Bualuang Treasury Fund
1386,2017-06-02,14398236766.5,10.8559,10.856,10.8559,0.0003,B-TREASURY : Bualuang Treasury Fund
1387,2017-06-01,14320519223.85,10.8556,10.8557,10.8556,0.0003,B-TREASURY : Bualuang Treasury Fund
1388,2017-05-31,14357478179.94,10.8553,10.8554,10.8553,0.0004,B-TREASURY : Bualuang Treasury Fund
1389,2017-05-30,14370549104.03,10.8549,10.855,10.8549,0.0003,B-TREASURY : Bualuang Treasury Fund
1390,2017-05-29,14494662781.97,10.8546,10.8547,10.8546,0.001,B-TREASURY : Bualuang Treasury Fund
1391,2017-05-26,14442303693.55,10.8536,10.8537,10.8536,0.0003,B-TREASURY : Bualuang Treasury Fund
1392,2017-05-25,14478418336.37,10.8533,10.8534,10.8533,0.0004,B-TREASURY : Bualuang Treasury Fund
1393,2017-05-24,14455434554.99,10.8529,10.853,10.8529,0.0003,B-TREASURY : Bualuang Treasury Fund
1394,2017-05-23,14444329375.09,10.8526,10.8527,10.8526,0.0004,B-TREASURY : Bualuang Treasury Fund
1395,2017-05-22,14554958368.67,10.8522,10.8523,10.8522,0.0009,B-TREASURY : Bualuang Treasury Fund
1396,2017-05-19,14539302389.58,10.8513,10.8514,10.8513,0.0003,B-TREASURY : Bualuang Treasury Fund
1397,2017-05-18,14547695816.51,10.851,10.8511,10.851,0.0004,B-TREASURY : Bualuang Treasury Fund
1398,2017-05-17,14447090461.06,10.8506,10.8507,10.8506,0.0002,B-TREASURY : Bualuang Treasury Fund
1399,2017-05-16,14465517458.74,10.8504,10.8505,10.8504,0.0003,B-TREASURY : Bualuang Treasury Fund
1400,2017-05-15,14661877199.85,10.8501,10.8502,10.8501,0.001,B-TREASURY : Bualuang Treasury Fund
1401,2017-05-12,14694037646.05,10.8491,10.8492,10.8491,0.0004,B-TREASURY : Bualuang Treasury Fund
1402,2017-05-11,14827369492.76,10.8487,10.8488,10.8487,0.0007,B-TREASURY : Bualuang Treasury Fund
1403,2017-05-09,14782558930.47,10.848,10.8481,10.848,0.0002,B-TREASURY : Bualuang Treasury Fund
1404,2017-05-08,14824434283.07,10.8478,10.8479,10.8478,0.001,B-TREASURY : Bualuang Treasury Fund
1405,2017-05-05,14934402809.74,10.8468,10.8469,10.8468,0.0004,B-TREASURY : Bualuang Treasury Fund
1406,2017-05-04,15004678121.77,10.8464,10.8465,10.8464,0.0003,B-TREASURY : Bualuang Treasury Fund
1407,2017-05-03,15025305546.93,10.8461,10.8462,10.8461,0.0004,B-TREASURY : Bualuang Treasury Fund
1408,2017-05-02,15198524214.92,10.8457,10.8458,10.8457,0.0013,B-TREASURY : Bualuang Treasury Fund
1409,2017-04-28,15023252663.32,10.8444,10.8445,10.8444,0.0003,B-TREASURY : Bualuang Treasury Fund
1410,2017-04-27,15029692534.66,10.8441,10.8442,10.8441,0.0003,B-TREASURY : Bualuang Treasury Fund
1411,2017-04-26,15216423344.48,10.8438,10.8439,10.8438,0.0003,B-TREASURY : Bualuang Treasury Fund
1412,2017-04-25,15241146783.87,10.8435,10.8436,10.8435,0.0003,B-TREASURY : Bualuang Treasury Fund
1413,2017-04-24,14994443976.72,10.8432,10.8433,10.8432,0.001,B-TREASURY : Bualuang Treasury Fund
1414,2017-04-21,14621208030.3,10.8422,10.8423,10.8422,0.0003,B-TREASURY : Bualuang Treasury Fund
1415,2017-04-20,14296492892.59,10.8419,10.842,10.8419,0.0003,B-TREASURY : Bualuang Treasury Fund
1416,2017-04-19,13114133361.19,10.8416,10.8417,10.8416,0.0003,B-TREASURY : Bualuang Treasury Fund
1417,2017-04-18,13023674931.45,10.8413,10.8414,10.8413,0.0003,B-TREASURY : Bualuang Treasury Fund
1418,2017-04-17,13021410128.76,10.841,10.8411,10.841,0.0017,B-TREASURY : Bualuang Treasury Fund
1419,2017-04-12,12962220217.21,10.8393,10.8394,10.8393,0.0004,B-TREASURY : Bualuang Treasury Fund
1420,2017-04-11,12853547882.82,10.8389,10.839,10.8389,0.0003,B-TREASURY : Bualuang Treasury Fund
1421,2017-04-10,12841690893.97,10.8386,10.8387,10.8386,0.001,B-TREASURY : Bualuang Treasury Fund
1422,2017-04-07,12516312853.09,10.8376,10.8377,10.8376,0.0007,B-TREASURY : Bualuang Treasury Fund
1423,2017-04-05,12514939759.33,10.8369,10.837,10.8369,0.0003,B-TREASURY : Bualuang Treasury Fund
1424,2017-04-04,12398324764.5,10.8366,10.8367,10.8366,0.0004,B-TREASURY : Bualuang Treasury Fund
1425,2017-04-03,12420829125.28,10.8362,10.8363,10.8362,0.001,B-TREASURY : Bualuang Treasury Fund
1426,2017-03-31,12305012347.12,10.8352,10.8353,10.8352,0.0004,B-TREASURY : Bualuang Treasury Fund
1427,2017-03-30,12272751728.47,10.8348,10.8349,10.8348,0.0003,B-TREASURY : Bualuang Treasury Fund
1428,2017-03-29,12179454575.47,10.8345,10.8346,10.8345,0.0003,B-TREASURY : Bualuang Treasury Fund
1429,2017-03-28,12080359247.05,10.8342,10.8343,10.8342,0.0004,B-TREASURY : Bualuang Treasury Fund
1430,2017-03-27,12014239256.34,10.8338,10.8339,10.8338,0.0009,B-TREASURY : Bualuang Treasury Fund
1431,2017-03-24,12000072575.3,10.8329,10.833,10.8329,0.0003,B-TREASURY : Bualuang Treasury Fund
1432,2017-03-23,11985106338.77,10.8326,10.8327,10.8326,0.0004,B-TREASURY : Bualuang Treasury Fund
1433,2017-03-22,11919474118.75,10.8322,10.8323,10.8322,0.0003,B-TREASURY : Bualuang Treasury Fund
1434,2017-03-21,11949908826.86,10.8319,10.832,10.8319,0.0003,B-TREASURY : Bualuang Treasury Fund
1435,2017-03-20,11950472610.61,10.8316,10.8317,10.8316,0.001,B-TREASURY : Bualuang Treasury Fund
1436,2017-03-17,11825483328.52,10.8306,10.8307,10.8306,0.0004,B-TREASURY : Bualuang Treasury Fund
1437,2017-03-16,11774621573.54,10.8302,10.8303,10.8302,0.0003,B-TREASURY : Bualuang Treasury Fund
1438,2017-03-15,11865616374.95,10.8299,10.83,10.8299,0.0003,B-TREASURY : Bualuang Treasury Fund
1439,2017-03-14,11858251955.15,10.8296,10.8297,10.8296,0.0003,B-TREASURY : Bualuang Treasury Fund
1440,2017-03-13,11848130679.81,10.8293,10.8294,10.8293,0.0011,B-TREASURY : Bualuang Treasury Fund
1441,2017-03-10,11802568480.31,10.8282,10.8283,10.8282,0.0003,B-TREASURY : Bualuang Treasury Fund
1442,2017-03-09,11741866567.25,10.8279,10.828,10.8279,0.0003,B-TREASURY : Bualuang Treasury Fund
1443,2017-03-08,11568819295.11,10.8276,10.8277,10.8276,0.0003,B-TREASURY : Bualuang Treasury Fund
1444,2017-03-07,11701812211.12,10.8273,10.8274,10.8273,0.0004,B-TREASURY : Bualuang Treasury Fund
1445,2017-03-06,11629957214.58,10.8269,10.827,10.8269,0.001,B-TREASURY : Bualuang Treasury Fund
1446,2017-03-03,11490907317.65,10.8259,10.826,10.8259,0.0003,B-TREASURY : Bualuang Treasury Fund
1447,2017-03-02,11478118194.35,10.8256,10.8257,10.8256,0.0003,B-TREASURY : Bualuang Treasury Fund
1448,2017-03-01,11366633670.68,10.8253,10.8254,10.8253,0.0004,B-TREASURY : Bualuang Treasury Fund
1449,2017-02-28,11243921785.17,10.8249,10.825,10.8249,0.0003,B-TREASURY : Bualuang Treasury Fund
1450,2017-02-27,11430869645.79,10.8246,10.8247,10.8246,0.001,B-TREASURY : Bualuang Treasury Fund
1451,2017-02-24,11545432922.67,10.8236,10.8237,10.8236,0.0003,B-TREASURY : Bualuang Treasury Fund
1452,2017-02-23,11606887600.14,10.8233,10.8234,10.8233,0.0004,B-TREASURY : Bualuang Treasury Fund
1453,2017-02-22,11625266229.76,10.8229,10.823,10.8229,0.0003,B-TREASURY : Bualuang Treasury Fund
1454,2017-02-21,11588969396.83,10.8226,10.8227,10.8226,0.0003,B-TREASURY : Bualuang Treasury Fund
1455,2017-02-20,11720708607.37,10.8223,10.8224,10.8223,0.001,B-TREASURY : Bualuang Treasury Fund
1456,2017-02-17,11612074819.84,10.8213,10.8214,10.8213,0.0004,B-TREASURY : Bualuang Treasury Fund
1457,2017-02-16,11609034158.99,10.8209,10.821,10.8209,0.0003,B-TREASURY : Bualuang Treasury Fund
1458,2017-02-15,11633317747.29,10.8206,10.8207,10.8206,0.0003,B-TREASURY : Bualuang Treasury Fund
1459,2017-02-14,11588859071.55,10.8203,10.8204,10.8203,0.0014,B-TREASURY : Bualuang Treasury Fund
1460,2017-02-10,11563388253.59,10.8189,10.819,10.8189,0.0003,B-TREASURY : Bualuang Treasury Fund
1461,2017-02-09,11382201474.93,10.8186,10.8187,10.8186,0.0004,B-TREASURY : Bualuang Treasury Fund
1462,2017-02-08,11307795817.67,10.8182,10.8183,10.8182,0.0003,B-TREASURY : Bualuang Treasury Fund
1463,2017-02-07,11314823186.07,10.8179,10.818,10.8179,0.0004,B-TREASURY : Bualuang Treasury Fund
1464,2017-02-06,11400561808.37,10.8175,10.8176,10.8175,0.001,B-TREASURY : Bualuang Treasury Fund
1465,2017-02-03,11263812241.95,10.8165,10.8166,10.8165,0.0004,B-TREASURY : Bualuang Treasury Fund
1466,2017-02-02,11194155834.47,10.8161,10.8162,10.8161,0.0003,B-TREASURY : Bualuang Treasury Fund
1467,2017-02-01,11156239963.59,10.8158,10.8159,10.8158,0.0004,B-TREASURY : Bualuang Treasury Fund
1468,2017-01-31,11134471534.52,10.8154,10.8155,10.8154,0.0003,B-TREASURY : Bualuang Treasury Fund
